INT0087,FT10301,Waste contractor,Low,Same Location,Blank
INT0088,FT14508,CCTV,Medium,Waste Pattern,Unknown offender
INT0089,FT16610,Resident,High,Similar dates,None
INT0090,FT08927,Council officer,Medium,Waste Pattern,Blank
INT0091,FT06426,Council officer,High,Waste Pattern,Blank
INT0092,FT07682,Waste contractor,Medium,Same Location,Unknown offender
INT0093,FT02233,Waste contractor,Low,Waste Pattern,Blank
INT0094,FT01337,Environmental monitoring,Medium,Same Location,Blank
INT0095,FT18762,Resident,Low,Waste Pattern,Unknown offender
INT0096,FT14233,Waste contractor,High,Vehicle,None
INT0097,FT04191,Waste contractor,High,Similar dates,None
INT0098,FT05346,CCTV,High,Vehicle,No Registration
INT0099,FT18804,Anonymous report,High,Similar dates,None
INT0100,FT01888,Resident,High,Same Location,Unknown offender
INT0101,FT16383,Environmental monitoring,Medium,Vehicle,None
INT0102,FT17086,CCTV,High,Vehicle,None
INT0103,FT04583,Council officer,Medium,Vehicle,No Registration
INT0104,FT19849,CCTV,High,Similar dates,None
INT0105,FT06629,Anonymous report,Low,Vehicle,No Registration
INT0106,FT14430,Resident,Low,Waste Pattern,Blank
INT0107,FT03292,Anonymous report,High,Waste Pattern,Blank
INT0108,FT07114,Police partner,Medium,Similar dates,None
INT0109,FT01198,CCTV,Low,Waste Pattern,Blank
INT0110,FT11800,Police partner,Medium,Vehicle,None
INT0111,FT07274,Enforcement officer,Low,Same Location,Blank
INT0112,FT03110,Enforcement officer,High,Vehicle,No Registration
INT0113,FT06640,Council officer,High,Same Location,Unknown offender
INT0114,FT05722,Enforcement officer,Medium,Waste Pattern,Unknown offender
INT0115,FT11592,Waste contractor,Low,Vehicle,None
INT0116,FT19297,Waste contractor,Medium,Waste Pattern,Blank
INT0117,FT14629,Environmental monitoring,High,Same Location,Unknown offender
INT0118,FT01871,Enforcement officer,Low,Similar dates,None
INT0119,FT02973,Anonymous report,High,Vehicle,No Registration
INT0120,FT08147,CCTV,Medium,Same Location,Blank
INT0121,FT17940,Enforcement officer,High,Similar dates,None
INT0122,FT04837,Council officer,High,Vehicle,No Registration
INT0123,FT13096,Police partner,High,Similar dates,None
INT0124,FT16674,Enforcement officer,Medium,Same Location,Unknown offender
INT0125,FT16887,Waste contractor,Medium,Waste Pattern,Unknown offender
INT0126,FT15300,CCTV,Low,Same Location,Unknown offender
INT0127,FT12288,Resident,Low,Similar dates,None
INT0128,FT16603,Council officer,High,Similar dates,None
INT0129,FT08762,Police partner,Medium,Vehicle,No Registration
INT0130,FT14920,Environmental monitoring,Low,Same Location,Unknown offender
INT0131,FT15068,Anonymous report,Medium,Similar dates,None
INT0132,FT05784,Enforcement officer,Low,Same Location,Unknown offender
INT0133,FT14896,Council officer,Medium,Vehicle,None
INT0134,FT05613,Anonymous report,Medium,Same Location,Unknown offender
INT0135,FT17329,Anonymous report,High,Vehicle,None
INT0136,FT09834,Environmental monitoring,High,Same Location,Blank
INT0137,FT05115,Police partner,Low,Waste Pattern,Blank
INT0138,FT08327,Anonymous report,High,Similar dates,None
INT0139,FT19747,Police partner,Low,Vehicle,None
INT0140,FT01786,Police partner,Medium,Waste Pattern,Unknown offender
INT0141,FT05285,Waste contractor,Medium,Vehicle,No Registration
INT0142,FT03013,Enforcement officer,Medium,Similar dates,None
INT0143,FT05228,Council officer,Low,Similar dates,None
INT0144,FT10369,Police partner,High,Vehicle,None
INT0145,FT14742,CCTV,High,Similar dates,None
INT0146,FT00758,CCTV,High,Vehicle,None
INT0147,FT01373,Council officer,Low,Vehicle,No Registration
INT0148,FT14760,Police partner,Low,Vehicle,No Registration
INT0149,FT09326,Waste contractor,Medium,Waste Pattern,Unknown offender
INT0150,FT11836,CCTV,Low,Waste Pattern,Blank
INT0151,FT19366,Waste contractor,High,Waste Pattern,Unknown offender
INT0152,FT10374,Resident,Medium,Same Location,Unknown offender
INT0153,FT18896,Enforcement officer,Medium,Similar dates,None
INT0154,FT13899,CCTV,Low,Waste Pattern,Unknown offender
INT0155,FT13155,Police partner,Medium,Vehicle,None
INT0156,FT06350,Anonymous report,High,Waste Pattern,Unknown offender
INT0157,FT04172,Police partner,High,Waste Pattern,Blank
INT0158,FT03354,Anonymous report,Medium,Waste Pattern,Unknown offender
INT0159,FT18638,Council officer,Low,Waste Pattern,Unknown offender
INT0160,FT07496,Council officer,Low,Waste Pattern,Unknown offender
INT0161,FT12296,CCTV,Medium,Similar dates,None
INT0162,FT00916,Council officer,Low,Vehicle,None
INT0163,FT09924,Waste contractor,High,Similar dates,None
INT0164,FT06895,Anonymous report,Low,Waste Pattern,Blank
INT0165,FT06006,Resident,Low,Similar dates,None
INT0166,FT18850,Resident,High,Similar dates,None
INT0167,FT07901,Resident,High,Vehicle,None
INT0168,FT18283,Police partner,Medium,Same Location,Unknown offender
INT0169,FT09772,Waste contractor,High,Waste Pattern,Blank
INT0170,FT11941,Environmental monitoring,Low,Waste Pattern,Blank
INT0171,FT02831,Enforcement officer,Medium,Same Location,Blank
INT0172,FT15237,Council officer,High,Waste Pattern,Blank
INT0173,FT15246,Enforcement officer,Low,Waste Pattern,Unknown offender
INT0174,FT16663,Police partner,Medium,Waste Pattern,Blank
INT0175,FT17775,CCTV,Medium,Vehicle,None
INT0176,FT10603,Resident,Medium,Similar dates,None
INT0177,FT17953,CCTV,Low,Same Location,Unknown offender
INT0178,FT14052,Waste contractor,High,Similar dates,None
INT0179,FT03384,Waste contractor,Medium,Vehicle,No Registration
INT0180,FT19642,Police partner,Low,Same Location,Blank
INT0181,FT05748,Resident,Medium,Vehicle,None
INT0182,FT11184,Enforcement officer,Low,Waste Pattern,Blank
INT0183,FT19640,Environmental monitoring,High,Vehicle,No Registration
INT0184,FT05698,Environmental monitoring,Medium,Similar dates,None
INT0185,FT18316,Council officer,Low,Waste Pattern,Unknown offender
INT0186,FT07789,Environmental monitoring,High,Similar dates,None
INT0187,FT10692,CCTV,High,Similar dates,None
INT0188,FT02593,Enforcement officer,Medium,Similar dates,None
INT0189,FT18272,Environmental monitoring,Medium,Same Location,Unknown offender
INT0190,FT17820,Council officer,Low,Same Location,Blank
INT0191,FT02859,Waste contractor,Low,Waste Pattern,Unknown offender
INT0192,FT11155,Resident,Medium,Similar dates,None
INT0193,FT07846,Waste contractor,Low,Waste Pattern,Blank
INT0194,FT07258,Enforcement officer,Medium,Vehicle,None
INT0195,FT15089,Resident,High,Same Location,Unknown offender
INT0196,FT18696,Police partner,High,Similar dates,None
INT0197,FT13242,Environmental monitoring,Medium,Waste Pattern,Unknown offender
INT0198,FT03915,Council officer,High,Same Location,Unknown offender
INT0199,FT03262,CCTV,High,Similar dates,None
INT0200,FT00487,Police partner,High,Same Location,Blank
INT0201,FT02125,Resident,Medium,Same Location,Blank
INT0202,FT17650,Waste contractor,Medium,Same Location,Unknown offender
INT0203,FT03376,Police partner,High,Vehicle,No Registration
INT0204,FT06097,Police partner,Low,Waste Pattern,Unknown offender
INT0205,FT00900,Anonymous report,High,Similar dates,None
INT0206,FT10736,Enforcement officer,Low,Vehicle,None
INT0207,FT09606,Police partner,Low,Vehicle,No Registration
INT0208,FT12592,Police partner,High,Waste Pattern,Blank
INT0209,FT00402,Council officer,Low,Similar dates,None
INT0210,FT10752,Police partner,Low,Vehicle,None
INT0211,FT08821,Enforcement officer,Low,Similar dates,None
INT0212,FT04945,Waste contractor,Medium,Same Location,Blank
INT0213,FT19687,Enforcement officer,Medium,Vehicle,No Registration
INT0214,FT17693,Environmental monitoring,Low,Similar dates,None
INT0215,FT16861,Resident,High,Vehicle,No Registration
INT0216,FT01325,CCTV,High,Same Location,Blank
INT0217,FT03933,Anonymous report,Low,Vehicle,None
INT0218,FT05387,CCTV,High,Vehicle,No Registration
INT0219,FT16744,Police partner,Low,Same Location,Unknown offender
INT0220,FT07886,Resident,Low,Vehicle,None
INT0221,FT06831,Council officer,High,Same Location,Blank
INT0222,FT05339,Anonymous report,Low,Similar dates,None
INT0223,FT14622,Enforcement officer,High,Vehicle,None
INT0224,FT17981,Enforcement officer,Medium,Similar dates,None
INT0225,FT05179,Environmental monitoring,High,Vehicle,None
INT0226,FT11579,Council officer,Low,Similar dates,None
INT0227,FT09473,Police partner,High,Similar dates,None
INT0228,FT17912,Council officer,Medium,Waste Pattern,Blank
INT0229,FT02408,Police partner,High,Same Location,Blank
INT0230,FT15710,Council officer,High,Same Location,Unknown offender
INT0231,FT18837,Police partner,Medium,Same Location,Blank
INT0232,FT06699,Enforcement officer,Medium,Similar dates,None
INT0233,FT10574,Enforcement officer,Medium,Waste Pattern,Unknown offender
INT0234,FT09432,Resident,Medium,Similar dates,None
INT0235,FT06522,Enforcement officer,Medium,Waste Pattern,Blank
INT0236,FT00533,Enforcement officer,High,Vehicle,None
INT0237,FT00551,Anonymous report,Medium,Same Location,Unknown offender
INT0238,FT11154,Anonymous report,Medium,Vehicle,None
INT0239,FT05128,Anonymous report,Medium,Vehicle,None
INT0240,FT14682,Enforcement officer,Low,Similar dates,None
INT0241,FT07096,Enforcement officer,High,Same Location,Unknown offender
INT0242,FT14208,Resident,High,Same Location,Unknown offender
INT0243,FT10438,Anonymous report,Low,Similar dates,None
INT0244,FT00240,Police partner,High,Waste Pattern,Unknown offender
INT0245,FT11141,CCTV,High,Waste Pattern,Unknown offender
INT0246,FT11428,Anonymous report,High,Same Location,Blank
INT0247,FT14383,CCTV,Medium,Similar dates,None
INT0248,FT07876,Resident,Low,Similar dates,None
INT0249,FT17081,Enforcement officer,Low,Waste Pattern,Unknown offender
INT0250,FT07435,Waste contractor,Medium,Vehicle,No Registration
INT0251,FT01451,CCTV,High,Waste Pattern,Unknown offender
INT0252,FT12425,CCTV,High,Same Location,Blank
INT0253,FT13036,CCTV,Medium,Same Location,Blank
INT0254,FT10264,Resident,High,Waste Pattern,Unknown offender
INT0255,FT01680,Resident,Medium,Similar dates,None
INT0256,FT14302,Anonymous report,Medium,Waste Pattern,Unknown offender
INT0257,FT19829,Waste contractor,High,Vehicle,No Registration
INT0258,FT07975,Resident,Medium,Same Location,Unknown offender
INT0259,FT04678,Enforcement officer,Medium,Same Location,Unknown offender
INT0260,FT17634,Council officer,High,Similar dates,None
INT0261,FT06832,Environmental monitoring,Low,Vehicle,No Registration
INT0262,FT06662,Environmental monitoring,High,Vehicle,No Registration
INT0263,FT12399,Police partner,Low,Vehicle,None
INT0264,FT13644,Police partner,Low,Similar dates,None
INT0265,FT03604,Police partner,Medium,Vehicle,No Registration
INT0266,FT16212,Council officer,High,Vehicle,None
INT0267,FT00449,Enforcement officer,Low,Same Location,Unknown offender
INT0268,FT17079,CCTV,Medium,Waste Pattern,Unknown offender
INT0269,FT00269,Resident,Medium,Similar dates,None
INT0270,FT15519,Anonymous report,Medium,Waste Pattern,Blank
INT0271,FT11420,Resident,Low,Vehicle,None
INT0272,FT16060,Resident,Low,Vehicle,No Registration
INT0273,FT04330,CCTV,Low,Similar dates,None
INT0274,FT16694,Council officer,High,Vehicle,No Registration
INT0275,FT06345,Environmental monitoring,Low,Vehicle,None
INT0276,FT16913,Enforcement officer,Low,Waste Pattern,Unknown offender
INT0277,FT07769,Resident,High,Waste Pattern,Unknown offender
INT0278,FT17537,Police partner,Low,Similar dates,None
INT0279,FT16393,Waste contractor,High,Similar dates,None
INT0280,FT14634,Police partner,Low,Vehicle,None
INT0281,FT05410,Council officer,High,Similar dates,None
INT0282,FT01109,Council officer,Low,Vehicle,No Registration
INT0283,FT13149,Enforcement officer,Low,Similar dates,None
INT0284,FT08754,CCTV,Low,Same Location,Blank
INT0285,FT15012,Police partner,Medium,Same Location,Blank
INT0286,FT01804,Waste contractor,High,Similar dates,None
INT0287,FT16563,Anonymous report,High,Same Location,Blank
INT0288,FT03088,Environmental monitoring,Low,Waste Pattern,Unknown offender
INT0289,FT12254,Council officer,Medium,Waste Pattern,Unknown offender
INT0290,FT09428,Environmental monitoring,Medium,Waste Pattern,Blank
INT0291,FT02822,Resident,Low,Similar dates,None
INT0292,FT14572,Environmental monitoring,High,Vehicle,None
INT0293,FT18745,Enforcement officer,Low,Same Location,Unknown offender
INT0294,FT08283,Waste contractor,Medium,Vehicle,None
INT0295,FT14598,Resident,Low,Waste Pattern,Unknown offender
INT0296,FT05812,Police partner,Low,Same Location,Unknown offender
INT0297,FT01923,Police partner,Medium,Vehicle,No Registration
INT0298,FT01313,Anonymous report,Low,Waste Pattern,Blank
INT0299,FT10130,Anonymous report,Low,Vehicle,None
INT0300,FT19147,Police partner,High,Vehicle,None
INT0301,FT09396,Anonymous report,Low,Same Location,Unknown offender
INT0302,FT01087,Anonymous report,Low,Waste Pattern,Unknown offender
INT0303,FT12998,Resident,Low,Waste Pattern,Unknown offender
INT0304,FT13929,Council officer,Medium,Vehicle,None
INT0305,FT18799,Waste contractor,High,Vehicle,No Registration
INT0306,FT00251,Council officer,Medium,Similar dates,None
INT0307,FT00535,Waste contractor,Medium,Similar dates,None
INT0308,FT08024,Police partner,High,Waste Pattern,Blank
INT0309,FT06653,Enforcement officer,Medium,Waste Pattern,Unknown offender
INT0310,FT04169,Council officer,Low,Vehicle,None
INT0311,FT09753,Enforcement officer,Low,Waste Pattern,Unknown offender
INT0312,FT05026,CCTV,Low,Same Location,Unknown offender
INT0313,FT00851,Environmental monitoring,Low,Vehicle,No Registration
INT0314,FT02026,Enforcement officer,Medium,Vehicle,None
INT0315,FT13363,Police partner,High,Similar dates,None
INT0316,FT09282,Police partner,High,Vehicle,None
INT0317,FT13963,Waste contractor,Low,Same Location,Unknown offender
INT0318,FT19456,Anonymous report,Medium,Vehicle,None
INT0319,FT06361,Waste contractor,Low,Vehicle,None
INT0320,FT07535,Resident,High,Vehicle,None
INT0321,FT07076,Environmental monitoring,Low,Waste Pattern,Blank
INT0322,FT03466,Enforcement officer,Low,Similar dates,None
INT0323,FT18765,Anonymous report,Medium,Vehicle,No Registration
INT0324,FT00077,Anonymous report,Medium,Waste Pattern,Unknown offender
INT0325,FT18103,Police partner,Medium,Same Location,Unknown offender
INT0326,FT07783,Enforcement officer,Medium,Waste Pattern,Blank
INT0327,FT00222,Council officer,High,Similar dates,None
INT0328,FT03416,Police partner,Low,Vehicle,No Registration
INT0329,FT12622,Anonymous report,Medium,Similar dates,None
INT0330,FT08934,Anonymous report,Medium,Similar dates,None
INT0331,FT09186,Council officer,Low,Same Location,Unknown offender
INT0332,FT01988,Police partner,High,Waste Pattern,Blank
INT0333,FT14009,Resident,Low,Same Location,Blank
INT0334,FT15825,Anonymous report,High,Vehicle,No Registration
INT0335,FT06391,Environmental monitoring,Medium,Similar dates,None
INT0336,FT04837,CCTV,High,Same Location,Unknown offender
INT0337,FT04126,Environmental monitoring,High,Vehicle,None
INT0338,FT14470,Environmental monitoring,Medium,Waste Pattern,Unknown offender
INT0339,FT09811,Waste contractor,High,Similar dates,None
INT0340,FT05729,Environmental monitoring,Medium,Similar dates,None
INT0341,FT08371,Police partner,Low,Same Location,Unknown offender
INT0342,FT04717,Anonymous report,Medium,Vehicle,None
INT0343,FT06457,Environmental monitoring,Medium,Vehicle,No Registration
INT0344,FT00579,Waste contractor,High,Vehicle,No Registration
INT0345,FT01379,Waste contractor,Low,Waste Pattern,Unknown offender
INT0346,FT09934,Police partner,Low,Waste Pattern,Unknown offender
INT0347,FT05830,Environmental monitoring,Medium,Vehicle,None
INT0348,FT15411,Waste contractor,High,Vehicle,None
INT0349,FT06314,Resident,High,Vehicle,No Registration
INT0350,FT02299,Enforcement officer,Low,Waste Pattern,Unknown offender
INT0351,FT02443,Resident,Low,Similar dates,None
INT0352,FT08424,Resident,Medium,Same Location,Blank
INT0353,FT14518,Police partner,Medium,Similar dates,None
INT0354,FT13602,Environmental monitoring,Low,Similar dates,None
INT0355,FT15934,Resident,Medium,Similar dates,None
INT0356,FT01714,Police partner,Low,Vehicle,No Registration
INT0357,FT15191,Police partner,High,Vehicle,None
INT0358,FT02887,Waste contractor,Low,Same Location,Blank
INT0359,FT16100,CCTV,High,Same Location,Blank
INT0360,FT17000,Anonymous report,Low,Similar dates,None
INT0361,FT11881,Environmental monitoring,High,Same Location,Blank
INT0362,FT09144,CCTV,High,Similar dates,None
INT0363,FT18630,Resident,High,Same Location,Blank
INT0364,FT19587,CCTV,Low,Same Location,Unknown offender
INT0365,FT16128,Resident,Medium,Similar dates,None
INT0366,FT10585,Resident,High,Vehicle,None
INT0367,FT16158,Anonymous report,Low,Same Location,Unknown offender
INT0368,FT04349,Resident,Medium,Waste Pattern,Unknown offender
INT0369,FT00336,Police partner,Low,Same Location,Unknown offender
INT0370,FT05083,Enforcement officer,Low,Same Location,Blank
INT0371,FT04876,Resident,Low,Vehicle,None
INT0372,FT00136,Enforcement officer,High,Waste Pattern,Blank
INT0373,FT18934,CCTV,High,Same Location,Blank
INT0374,FT13968,Waste contractor,High,Same Location,Unknown offender
INT0375,FT14131,Council officer,High,Vehicle,None
INT0376,FT19081,Anonymous report,Medium,Similar dates,None
INT0377,FT04910,Environmental monitoring,High,Same Location,Blank
INT0378,FT06327,Police partner,Low,Similar dates,None
INT0379,FT06487,Resident,High,Same Location,Blank
INT0380,FT16069,Police partner,High,Similar dates,None
INT0381,FT10789,Resident,High,Same Location,Blank
INT0382,FT03288,Anonymous report,Low,Same Location,Blank
INT0383,FT17229,Resident,Low,Similar dates,None
INT0384,FT19688,Anonymous report,Medium,Same Location,Unknown offender
INT0385,FT05693,Environmental monitoring,High,Similar dates,None
INT0386,FT09695,Environmental monitoring,Medium,Similar dates,None
INT0387,FT18489,Resident,Medium,Vehicle,No Registration
INT0388,FT02789,Anonymous report,Low,Vehicle,None
INT0389,FT17700,Resident,Low,Vehicle,None
INT0390,FT04475,Council officer,High,Same Location,Blank
INT0391,FT16195,Anonymous report,Low,Vehicle,None
INT0392,FT02274,Environmental monitoring,Medium,Waste Pattern,Blank
INT0393,FT16431,Council officer,Low,Vehicle,None
INT0394,FT07422,Resident,High,Vehicle,No Registration
INT0395,FT03171,Council officer,Medium,Vehicle,None
INT0396,FT02975,Anonymous report,Medium,Vehicle,None
INT0397,FT16273,Council officer,Medium,Same Location,Blank
INT0398,FT11084,Waste contractor,Low,Same Location,Blank
INT0399,FT14681,Enforcement officer,Medium,Vehicle,None
INT0400,FT13699,Police partner,High,Waste Pattern,Unknown offender
INT0401,FT17171,Resident,Medium,Similar dates,None
INT0402,FT04309,Enforcement officer,High,Vehicle,None
INT0403,FT00236,Council officer,High,Waste Pattern,Blank
INT0404,FT16559,Waste contractor,Medium,Vehicle,None
INT0405,FT00870,Waste contractor,High,Same Location,Blank
INT0406,FT11562,CCTV,High,Waste Pattern,Unknown offender
INT0407,FT05534,Environmental monitoring,Medium,Same Location,Unknown offender
INT0408,FT16770,Enforcement officer,High,Vehicle,No Registration
INT0409,FT17788,CCTV,Low,Similar dates,None
INT0410,FT03459,Anonymous report,Medium,Similar dates,None
INT0411,FT08691,Council officer,High,Waste Pattern,Blank
INT0412,FT00645,Resident,Low,Same Location,Blank
INT0413,FT14791,Anonymous report,Low,Waste Pattern,Blank
INT0414,FT15363,Anonymous report,High,Vehicle,No Registration
INT0415,FT14633,Enforcement officer,Medium,Waste Pattern,Unknown offender
INT0416,FT04792,CCTV,Medium,Waste Pattern,Blank
INT0417,FT17349,Waste contractor,Low,Same Location,Blank
INT0418,FT04759,Resident,High,Same Location,Blank
INT0419,FT17887,CCTV,Medium,Similar dates,None
INT0420,FT19773,Anonymous report,Medium,Waste Pattern,Blank
INT0421,FT04443,Environmental monitoring,Medium,Same Location,Blank
INT0422,FT00994,Resident,Low,Waste Pattern,Blank
INT0423,FT03394,Waste contractor,Low,Similar dates,None
INT0424,FT18603,Environmental monitoring,Low,Same Location,Unknown offender
INT0425,FT18671,Environmental monitoring,High,Vehicle,No Registration
INT0426,FT10677,Anonymous report,Low,Same Location,Unknown offender
INT0427,FT18967,Police partner,Medium,Same Location,Unknown offender
INT0428,FT14449,CCTV,Medium,Same Location,Unknown offender
INT0429,FT01167,Police partner,Low,Waste Pattern,Blank
INT0430,FT18989,Waste contractor,Low,Waste Pattern,Unknown offender
INT0431,FT17141,Police partner,High,Similar dates,None
INT0432,FT03697,Environmental monitoring,Low,Same Location,Unknown offender
INT0433,FT02199,Anonymous report,Medium,Similar dates,None
INT0434,FT18196,Council officer,Medium,Similar dates,None
INT0435,FT17035,Police partner,Low,Same Location,Blank
INT0436,FT07175,CCTV,Medium,Similar dates,None
INT0437,FT19450,Resident,Medium,Same Location,Blank
INT0438,FT04810,Resident,Medium,Similar dates,None
INT0439,FT03380,Enforcement officer,Medium,Vehicle,No Registration
INT0440,FT00224,CCTV,Medium,Waste Pattern,Unknown offender
INT0441,FT12454,CCTV,Low,Waste Pattern,Blank
INT0442,FT17420,Police partner,High,Waste Pattern,Unknown offender
INT0443,FT15934,Enforcement officer,Low,Same Location,Blank
INT0444,FT10688,Enforcement officer,High,Same Location,Unknown offender
INT0445,FT13489,CCTV,High,Same Location,Unknown offender
INT0446,FT07524,Police partner,Medium,Same Location,Unknown offender
INT0447,FT18466,Resident,Medium,Same Location,Unknown offender
INT0448,FT08578,Police partner,High,Vehicle,None
INT0449,FT12410,Environmental monitoring,Medium,Vehicle,None
INT0450,FT07931,Environmental monitoring,High,Similar dates,None
INT0451,FT12658,Police partner,High,Waste Pattern,Unknown offender
INT0452,FT02619,Police partner,Low,Vehicle,No Registration
INT0453,FT11222,Council officer,Low,Waste Pattern,Blank
INT0454,FT10143,Resident,Medium,Similar dates,None
INT0455,FT02845,Waste contractor,Medium,Same Location,Unknown offender
INT0456,FT04656,Enforcement officer,High,Waste Pattern,Unknown offender
INT0457,FT13947,Council officer,High,Same Location,Blank
INT0458,FT09928,Police partner,Low,Waste Pattern,Unknown offender
INT0459,FT07241,Resident,Low,Similar dates,None
INT0460,FT18781,Environmental monitoring,Low,Similar dates,None
INT0461,FT03651,Police partner,Low,Waste Pattern,Blank
INT0462,FT10583,Police partner,Medium,Similar dates,None
INT0463,FT08437,Enforcement officer,Medium,Same Location,Blank
INT0464,FT04063,Resident,High,Vehicle,None
INT0465,FT17056,Environmental monitoring,High,Vehicle,None
INT0466,FT05391,Anonymous report,Low,Similar dates,None
INT0467,FT04540,Council officer,Medium,Waste Pattern,Unknown offender
INT0468,FT09021,Anonymous report,Low,Similar dates,None
INT0469,FT17058,Waste contractor,Medium,Vehicle,None
INT0470,FT18350,Council officer,Low,Vehicle,No Registration
INT0471,FT02185,Anonymous report,Low,Similar dates,None
INT0472,FT08980,Resident,Medium,Similar dates,None
INT0473,FT16258,Police partner,Medium,Same Location,Blank
INT0474,FT14010,Environmental monitoring,Low,Vehicle,No Registration
INT0475,FT08278,Anonymous report,Low,Waste Pattern,Blank
INT0476,FT12310,Resident,Medium,Same Location,Unknown offender
